blockNum,originalBlockTrialNum,cueType,cueValidity,postCueLocation,pstCueCoordXD,fixOnset,TargetDur,TargetOnset,pstMaskOnset,RespOnset,trialNum,preCueLocation,string,CxResp,CxResplowercase,overallTrialNum,Preq1Op,Preq2Op,Preq3Op,Preq4Op,Preq5Op,Preq6Op,positionss,positionx,positiony,pstCueCoordX
2,19,0,0,5.00,1.86,1,0.24,0.60,0.84,0.94,19,0,{'HPFDGK'},G,g,19,1,1,1,1,1,1,1,-2.7840,-0.5,0.130520394
2,20,0,0,4.00,0.93,1,0.24,0.60,0.84,0.94,20,0,{'HDKGPF'},G,g,20,1,1,1,1,1,1,2,-1.8560,-0.5,0.065260197
2,21,0,0,2.00,-1.86,1,0.24,0.60,0.84,0.94,21,0,{'KDGPFH'},D,d,21,1,1,1,1,1,1,3,-0.9280,-0.5,-0.130520394
2,22,0,0,5.00,1.86,1,0.24,0.60,0.84,0.94,22,0,{'GFPHKD'},K,k,22,1,1,1,1,1,1,4,0.9280,-0.5,0.130520394
2,23,0,0,4.00,0.93,1,0.24,0.60,0.84,0.94,23,0,{'PGFHDK'},H,h,23,1,1,1,1,1,1,5,1.8560,-0.5,0.065260197
2,24,0,0,3.00,-0.93,1,0.24,0.60,0.84,0.94,24,0,{'KPGDFH'},G,g,24,1,1,1,1,1,1,6,2.7840,-0.5,-0.065260197
2,25,0,0,5.00,1.86,1,0.24,0.60,0.84,0.94,25,0,{'PGKHFD'},F,f,25,1,1,1,1,1,1,,,,0.130520394
2,26,0,0,6.00,2.78,1,0.24,0.60,0.84,0.94,26,0,{'DFPGKH'},H,h,26,1,1,1,1,1,1,,deg to norm,,0.195780591
2,27,0,0,6.00,2.78,1,0.24,0.60,0.84,0.94,27,0,{'FKHGPD'},D,d,27,1,1,1,1,1,1,,14.22,,0.195780591
2,28,0,0,4.00,0.93,1,0.24,0.60,0.84,0.94,28,0,{'DFGPHK'},P,p,28,1,1,1,1,1,1,,,,0.065260197
2,29,0,0,6.00,2.78,1,0.24,0.60,0.84,0.94,29,0,{'FGKPHD'},D,d,29,1,1,1,1,1,1,,,,0.195780591
2,30,0,0,6.00,2.78,1,0.24,0.60,0.84,0.94,30,0,{'DGPKFH'},H,h,30,1,1,1,1,1,1,,,,0.195780591
2,31,0,0,4.00,0.93,1,0.24,0.60,0.84,0.94,31,0,{'GKPHFD'},H,h,31,1,1,1,1,1,1,,,,0.065260197
2,32,0,0,1.00,-2.78,1,0.24,0.60,0.84,0.94,32,0,{'KGFDHP'},K,k,32,1,1,1,1,1,1,,,,-0.195780591
2,33,0,0,6.00,2.78,1,0.24,0.60,0.84,0.94,33,0,{'GPKDHF'},F,f,33,1,1,1,1,1,1,,,,0.195780591
2,34,0,0,3.00,-0.93,1,0.24,0.60,0.84,0.94,34,0,{'DKFGPH'},F,f,34,1,1,1,1,1,1,,,,-0.065260197
2,35,0,0,5.00,1.86,1,0.24,0.60,0.84,0.94,35,0,{'DFPKHG'},H,h,35,1,1,1,1,1,1,,,,0.130520394
2,36,0,0,2.00,-1.86,1,0.24,0.60,0.84,0.94,36,0,{'KHFPDG'},H,h,36,1,1,1,1,1,1,,,,-0.130520394
