blockNum,originalBlockTrialNum,cueType,cueValidity,postCueLocation,pstCueCoordXDeg,fixOnset,cueTargetISI,TargetOnset,pstMaskOnset,RespOnset,trialNum,preCueLocation,string,CxResp,CxResplowercase,Preq2Op,Preq5Op,positionss,positionx,positiony,pstCueCoordX,,,,,
1,1,2,-1,5,1.16,2,0,2.050,2.17,2.27,1,1,{'    . '},.,.,1,0,1,-1.74,-0.5,0.081575246,,,,,
1,2,2,1,2,-1.16,2,0.05,2.100,2.22,2.32,2,1,{' .    '},.,.,1,0,2,-1.16,-0.5,-0.081575246,,,,,
1,3,2,1,2,-1.16,2,0,2.050,2.17,2.27,3,1,{' .    '},.,.,1,0,3,-0.58,-0.5,-0.081575246,,,,,
1,4,2,1,5,1.16,2,0.05,2.100,2.22,2.32,4,2,{'    . '},.,.,0,1,4,0.58,-0.5,0.081575246,,,,,
1,5,2,-1,5,1.16,2,0,2.050,2.17,2.27,5,1,{'    . '},.,.,1,0,5,1.16,-0.5,0.081575246,,,,,
1,6,2,0,5,1.16,2,0,2.050,2.17,2.27,6,7,{'    . '},.,.,1,1,6,1.74,-0.5,0.081575246,,,,,
1,7,2,-1,5,1.16,2,0.05,2.100,2.22,2.32,7,1,{'    . '},.,.,1,0,,deg to norm,,0.081575246,,,,,
1,8,2,1,5,1.16,2,0.05,2.100,2.22,2.32,8,2,{'    . '},.,.,0,1,,14.22,,0.081575246,,,,,
1,9,2,0,5,1.16,2,0.05,2.100,2.22,2.32,9,7,{'    . '},.,.,1,1,,,,0.081575246,,,,,
1,10,2,-1,2,-1.16,2,0.05,2.100,2.22,2.32,10,2,{' .    '},.,.,0,1,,,,-0.081575246,,,,,
1,11,2,0,2,-1.16,2,0.05,2.100,2.22,2.32,11,7,{' .    '},.,.,1,1,,,,-0.081575246,,,,,
1,12,2,0,5,1.16,2,0.05,2.100,2.22,2.32,12,7,{'    . '},.,.,1,1,,,,0.081575246,,,,,
1,13,2,-1,2,-1.16,2,0,2.050,2.17,2.27,13,2,{' .    '},.,.,0,1,,,,-0.081575246,,,,,
1,14,2,1,5,1.16,2,0,2.050,2.17,2.27,14,2,{'    . '},.,.,0,1,,,,0.081575246,,,,,
1,15,2,0,2,-1.16,2,0.05,2.100,2.22,2.32,15,7,{' .    '},.,.,1,1,,,,-0.081575246,,,,,
1,16,2,1,5,1.16,2,0,2.050,2.17,2.27,16,2,{'    . '},.,.,0,1,,,,0.081575246,,,,,
1,17,2,0,5,1.16,2,0,2.050,2.17,2.27,17,7,{'    . '},.,.,1,1,,,,0.081575246,,,,,
1,18,2,0,2,-1.16,2,0,2.050,2.17,2.27,18,7,{' .    '},.,.,1,1,,,,-0.081575246,,,,,
1,19,2,1,2,-1.16,2,0.05,2.100,2.22,2.32,19,1,{' .    '},.,.,1,0,,,,-0.081575246,,,,,
